Categorie,Sous-categorie,Nom,Prix,Image,Lien,Rayon                    ,Categorie                ,Famille                  ,Talon                    ,Info pointure            ,Semelle                  ,Doublure                 ,Matiere exterieure       ,Matière                  ,Couleur principale       ,Référence,Libellé modèle,Membrane                 
Femme,Charentaises,Chaussons et Pantoufles -Femme -Laine tissée -Jaune  -Charentaise -rondinaud,43.00 €,/CHAUSSURESONLINE_WEB/photos/Ico/4691203_1.jpg,https://www.chaussuresonline.com/fr/chaussure/rondinaud/femme/chaussons-et-pantoufles/calmont-jaune/4691203.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Feutrine,Laine tissée,Textile,Laine,Jaune,4691203.0,CALMONT,MADE IN FRANCE
Femme,Charentaises,Chaussons et Pantoufles -Femme -Laine tissée -Bordeaux  -Charentaise -semelflex,44.00 €,/CHAUSSURESONLINE_WEB/photos/Ico/4886101_1.jpg,https://www.chaussuresonline.com/fr/chaussure/semelflex/femme/chaussons-et-pantoufles/calomona-bordeaux/4886101.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon compensé,Chausse normal,Gomme,Laine tissée,Synthétique,Laine,Bordeaux,4886101.0,CALOMONA,
Femme,Charentaises,Chaussons et Pantoufles -Femme -Laine tissée -Gris  -Charentaise -semelflex,44.00 €,/CHAUSSURESONLINE_WEB/photos/Ico/4886102_1.jpg,https://www.chaussuresonline.com/fr/chaussure/semelflex/femme/chaussons-et-pantoufles/calomona-gris/4886102.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon compensé,Chausse normal,Gomme,Laine tissée,Synthétique,Laine,Gris,4886102.0,CALOMONA,
Femme,Charentaises,Chaussons et Pantoufles -Femme -Laine tissée -Gris  -Charentaise -semelflex,44.00 €,/CHAUSSURESONLINE_WEB/photos/Ico/4886103_1.jpg,https://www.chaussuresonline.com/fr/chaussure/semelflex/femme/chaussons-et-pantoufles/calomona-gris/4886103.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon compensé,Chausse normal,Gomme,Laine tissée,Synthétique,Laine,Gris,4886103.0,CALOMONA,
Femme,Charentaises,Chaussons et Pantoufles -Femme -Laine tissée -Fleurs  -Charentaise -semelflex,45.00 €,/CHAUSSURESONLINE_WEB/photos/Ico/4802701_1.jpg,https://www.chaussuresonline.com/fr/chaussure/semelflex/femme/chaussons-et-pantoufles/calozoe-fleurs/4802701.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon compensé,Chausse normal,Gomme,Laine tissée,Synthétique,Synthetique,Fleurs,4802701.0,CALOZOE,
Femme,Charentaises,Chaussons et Pantoufles -Femme -Foururre synthétique - -Charentaise -la maison de l espadrille,44.90 €,/CHAUSSURESONLINE_WEB/photos/Ico/4770601_1.jpg,https://www.chaussuresonline.com/fr/chaussure/la-maison-de-l-espadrille/femme/chaussons-et-pantoufles/f109f-charentaise-femme-/4770601.awp,Femme,Chaussons et Pantoufles,Charentaise,,Chausse normal,Gomme,Foururre synthétique,Synthétique,,,4770601.0,F109F CHARENTAISE FEMME,
Femme,Charentaises,Chaussons et Pantoufles -Femme -Foururre synthétique -Bordeaux  -Charentaise -la maison de l espadrille,39.99 €,/CHAUSSURESONLINE_WEB/photos/Ico/4770502_1.jpg,https://www.chaussuresonline.com/fr/chaussure/la-maison-de-l-espadrille/femme/chaussons-et-pantoufles/f4131-charentaise-chat-bordeaux/4770502.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Caoutchouc,Foururre synthétique,Synthétique,Feutrine,Bordeaux,4770502.0,F4131 CHARENTAISE CHAT,
Femme,Charentaises,Chaussons et Pantoufles -Femme -Laine tissée -Fleurs  -Charentaise -semelflex,54.75 €,/CHAUSSURESONLINE_WEB/photos/Ico/4885901_1.jpg,https://www.chaussuresonline.com/fr/chaussure/semelflex/femme/chaussons-et-pantoufles/jane-rose-fleurs/4885901.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Gomme,Laine tissée,Synthétique,Laine,Fleurs,4885901.0,JANE ROSE,
Femme,Charentaises,Chaussons et Pantoufles -Femme -Laine tissée -Beige  -Charentaise -rondinaud,49.90 €,/CHAUSSURESONLINE_WEB/photos/Ico/4873101_1.jpg,https://www.chaussuresonline.com/fr/chaussure/rondinaud/femme/chaussons-et-pantoufles/louis-femme-exterieur-beige/4873101.awp,Femme,Chaussons et Pantoufles,Charentaise,Talon Plat- Moins de 4cm,Chausse normal,Feutrine,Laine tissée,Textile,Laine,Beige,4873101.0,LOUIS FEMME EXTERIEUR,MADE IN FRANCE
Homme,Charentaises,Chaussons et Pantoufles -Homme -Synthétique -Gris  -Charentaise -la maison de l espadrille,36.90 €,/CHAUSSURESONLINE_WEB/photos/Ico/4881701_1.jpg,https://www.chaussuresonline.com/fr/chaussure/la-maison-de-l-espadrille/homme/chaussons-et-pantoufles/a51h-charentaise-asterix-gris/4881701.awp,Homme,Chaussons et Pantoufles,Charentaises Hiver,Talon Plat- Moins de 4cm,Chausse normal,Gomme,Synthétique,Synthétique,Textile,Gris,4881701.0,A51H CHARENTAISE ASTERIX,
